,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,Genre
1206,24A9gRCWE4Jza8DDhnur6C,Behind Closed Doors,3X8VK5wNpLQCVEo4sWBH2A,Cassyette,1U8ck3ysyU4iwNaagT7MCJ,183016,12/1/2021,52,0.483,0.922,4,-4.923,1,0.0624,0.000188,0,0.429,0.751,77.547,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1207,1wBtnfOFCMmr6yOy1dE5VM,Survivor,1pRaG81GsVtaTBuVSpldt2,Pop Evil,4gZGUfedFjMS22PzjDzscJ,242424,5/21/2021,58,0.606,0.749,2,-5.983,1,0.0289,0.00271,4.15E-06,0.0609,0.408,90.046,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1208,1C4V5YwbuMEcQgsNV3Sapg,Supercharged,1iEaqWaYpKo9x0OrEq7Q7z,Ayron Jones,7GGIqGci2fE3pMFdD8dI1y,182064,5/21/2021,52,0.566,0.963,1,-3.835,0,0.05,0.000618,6.77E-05,0.361,0.861,130.059,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1209,4o7yTUS7EFgYOcFDyN8U27,Shoulders,3utxjLheHaVEd9bPjQRsy8,Coheed and Cambria,1foAheWx5434SZa2TxIkxO,205205,7/21/2021,57,0.284,0.974,7,-2.147,0,0.297,0.00534,9.76E-06,0.117,0.316,195.987,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1210,3JMXQTQ6ai6lAPN82UdOox,Sane - Radio Edit,59CIPNdUfewexxn1CJEdp5,Fozzy,63TT4OsgibdCVUVCTdCg0W,230939,5/28/2021,40,0.235,0.888,5,-3.93,0,0.0695,1.23E-05,7.61E-06,0.271,0.653,93.107,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1211,1tflEwtV8PtN6IRErehdve,Echo,4tususHNaR68xdgLstlGBA,Of Mice & Men,0cAdFhMC5AGBs5BRpFD23C,199250,11/24/2021,53,0.535,0.95,9,-5.819,0,0.157,0.00208,0.00146,0.142,0.0804,133.009,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1212,6IOkD91cfmMM1uw7oGoyzx,Left For Dead,7cNNNhdJDrt3vgQjwSavNf,Memphis May Fire,4pkpMvFT1R9i43mYm42Ztf,185772,12/17/2021,60,0.473,0.991,10,-2.605,0,0.253,5.02E-05,0,0.276,0.464,123.866,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1213,6dzyEj20geKV3Khh0nFqbR,Forsaken - The Aftermath,3hE8S8ohRErocpkY7uJW4a,Within Temptation,19sM9PTWBKHos2jARNfe06,298634,12/2/2021,56,0.374,0.853,9,-11.13,0,0.0532,9.48E-05,4.71E-06,0.0663,0.328,98.918,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1214,1pShlPEW4nhGQeomZLCXtL,It's Over,1Tsag5J854qxeOo2apszug,Silverstein,1yA0gGywa2o2KnHnvLUMq9,203800,11/18/2021,61,0.487,0.935,0,-2.946,1,0.092,0.00232,2.95E-06,0.386,0.661,129.973,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1215,0S6rmCEGfJhAf2vL6FE5pD,Dirty Rotten Bizkit,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,2lZ9RqGnGXH8gtH3DK02tJ,181290,10/31/2021,64,0.461,0.932,6,-3.977,1,0.209,0.000833,0,0.362,0.441,97.285,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1216,4py8spIzvJETEC3srLB0q4,Hold The Line (feat. grandson),74NBPbyyftqJ4SpDZ4c1Ed,Tom Morello,7kAxJWvGXcU2zebMMvaxFp,192150,10/15/2021,58,0.556,0.93,1,-6.1,1,0.119,0.00134,0.0251,0.758,0.608,160.068,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1217,4Y7eqYTpV7fQxpYj1isN2F,Black Hole,6qO6LhD6FuXK5e2PtfAIMz,We Came As Romans,4rTul9Y40kljIY12LiVAwB,179181,9/8/2021,63,0.48,0.958,5,-4.241,0,0.0664,2.45E-05,0,0.52,0.385,110.05,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
